# M175-M176 Tiered Memory Experiment — RQ2+RQ4+RQ6
# Generated by m175_m176_tiered_memory.cpp
# Tier model: HBM(deg>256) / GDDR(deg>32) / DRAM(deg>4) / SSD(rest)
#
# RQ4: Scaling 1M→100M edges
scale,N,M,rss_mb,insert_meps,hbm_edges,gddr_edges,dram_edges,ssd_edges,hbm_pct,gddr_pct,dram_pct,ssd_pct,bfs_tiered_ms,bfs_csr_ms,bfs_slowdown,bfs_retain_pct,pr_tiered_ms,pr_csr_ms,pr_slowdown,pr_retain_pct,sssp_tiered_ms,sssp_csr_ms,sssp_slowdown,sssp_retain_pct,wcc_tiered_ms,wcc_csr_ms,wcc_slowdown,wcc_retain_pct
14,16384,261788,17.95,11.939,54027,100546,74166,33049,20.6,38.4,28.3,12.6,1.10,0.93,1.18,84.85,3.82,2.09,1.83,54.62,5.28,4.05,1.30,76.67,7.12,1.63,4.38,22.85
16,65536,1048054,58.89,10.184,283650,372128,273213,119063,27.1,35.5,26.1,11.4,6.55,4.46,1.47,68.12,21.00,9.37,2.24,44.63,27.16,19.92,1.36,73.35,16.37,7.61,2.15,46.47
#
# RQ6: Migration Overlap
scale,mig_threads,bfs_baseline_ms,bfs_with_mig_ms,slowdown_pct,edges_migrated,mig_p50_us,mig_p99_us
14,1,1.03,0.84,-18.3,0,0.00,0.00
14,2,1.01,0.88,-12.8,65476,1115.42,1115.42
