# M165 Paper Data — Philemon-TSH Ablation Study (RQ5)
# Generated by m165_m166_ablation_experiment.cpp (live experiment run)
# Graph: RMAT (a=0.57,b=0.19,c=0.19,d=0.05), edge_factor=16, seed=42
# 6 configurations: all-DRAM / hot-only / hot+warm / full-tiered / +prefetch / +compaction
#
# Figure 4a: BFS Latency by Configuration
config,scale,vertices,edges,bfs_latency_ms,bfs_reachable,bfs_switches
all-DRAM,14,16384,261788,0.69,10987,2
hot-only,14,16384,259409,0.73,8759,2
hot+warm,14,16384,261788,0.78,10987,2
full-tiered,14,16384,261788,0.78,10987,2
+prefetch,14,16384,261788,0.91,10987,2
+compaction,14,16384,261788,1.03,10987,2
all-DRAM,16,65536,1048054,3.53,40316,2
hot-only,16,65536,1038585,3.40,31243,2
hot+warm,16,65536,1048054,3.17,40316,2
full-tiered,16,65536,1048054,3.39,40316,2
+prefetch,16,65536,1048054,4.35,40316,2
+compaction,16,65536,1048054,4.44,40316,2
all-DRAM,18,262144,4193529,14.03,148649,2
hot-only,18,262144,4156026,14.61,112302,2
hot+warm,18,262144,4193529,14.26,148649,2
full-tiered,18,262144,4193529,14.48,148649,2
+prefetch,18,262144,4193529,16.96,148649,2
+compaction,18,262144,4193529,18.44,148649,2
#
# Figure 4b: PageRank Latency by Configuration
config,scale,vertices,edges,pr_latency_ms,pr_iters,pr_l1_residual
all-DRAM,14,16384,261788,10.97,20,2.03e-04
hot-only,14,16384,259409,9.59,20,2.81e-04
hot+warm,14,16384,261788,11.23,20,1.95e-04
full-tiered,14,16384,261788,10.46,20,1.95e-04
+prefetch,14,16384,261788,16.98,20,1.95e-04
+compaction,14,16384,261788,17.01,20,1.95e-04
all-DRAM,16,65536,1048054,46.23,20,1.84e-04
hot-only,16,65536,1038585,41.84,20,2.47e-04
hot+warm,16,65536,1048054,46.96,20,1.77e-04
full-tiered,16,65536,1048054,46.75,20,1.77e-04
+prefetch,16,65536,1048054,76.31,20,1.77e-04
+compaction,16,65536,1048054,80.72,20,1.77e-04
all-DRAM,18,262144,4193529,231.40,20,1.69e-04
hot-only,18,262144,4156026,238.74,20,2.19e-04
hot+warm,18,262144,4193529,245.26,20,1.63e-04
full-tiered,18,262144,4193529,246.04,20,1.63e-04
+prefetch,18,262144,4193529,380.57,20,1.63e-04
+compaction,18,262144,4193529,426.21,20,1.63e-04
#
# Figure 4c: Memory Usage by Configuration
config,scale,vertices,edges,memory_mb,tier_dram,tier_ssd,tier_hdd
all-DRAM,14,16384,261788,4.49,261788,0,0
hot-only,14,16384,259409,4.46,259409,0,0
hot+warm,14,16384,261788,4.49,259409,2379,0
full-tiered,14,16384,261788,4.49,259409,2379,0
+prefetch,14,16384,261788,4.49,259409,2379,0
+compaction,14,16384,261788,4.49,259409,2379,0
all-DRAM,16,65536,1048054,17.99,1048054,0,0
hot-only,16,65536,1038585,17.85,1038585,0,0
hot+warm,16,65536,1048054,17.99,1038585,9469,0
full-tiered,16,65536,1048054,17.99,1038585,9469,0
+prefetch,16,65536,1048054,17.99,1038585,9469,0
+compaction,16,65536,1048054,17.99,1038585,9469,0
all-DRAM,18,262144,4193529,71.99,4193529,0,0
hot-only,18,262144,4156026,71.42,4156026,0,0
hot+warm,18,262144,4193529,71.99,4156026,37503,0
full-tiered,18,262144,4193529,71.99,4156026,37503,0
+prefetch,18,262144,4193529,71.99,4156026,37503,0
+compaction,18,262144,4193529,71.99,4156026,37503,0
#
# Figure 4d: Normalized Latency (relative to all-DRAM baseline)
config,scale,bfs_normalized,pr_normalized,memory_normalized
all-DRAM,14,1.000,1.000,1.000
hot-only,14,1.066,0.874,0.992
hot+warm,14,1.142,1.024,1.000
full-tiered,14,1.142,0.953,1.000
+prefetch,14,1.332,1.547,1.000
+compaction,14,1.498,1.550,1.000
all-DRAM,16,1.000,1.000,1.000
hot-only,16,0.962,0.905,0.992
hot+warm,16,0.898,1.016,1.000
full-tiered,16,0.958,1.011,1.000
+prefetch,16,1.231,1.651,1.000
+compaction,16,1.257,1.746,1.000
all-DRAM,18,1.000,1.000,1.000
hot-only,18,1.041,1.032,0.992
hot+warm,18,1.016,1.060,1.000
full-tiered,18,1.032,1.063,1.000
+prefetch,18,1.208,1.645,1.000
+compaction,18,1.314,1.842,1.000
